	lower balance	upper balance	mean_balance
2023-06-21	-5097.526697354433	19496.1143642729	7199.293833459233
2023-06-22	-5277.417470025898	19494.42981118487	7108.506170579486
2023-06-23	-5056.495839167487	19892.284816619107	7417.89448872581
2023-06-24	-5226.996408140057	19897.471674093435	7335.237632976689
2023-06-25	-5537.971971346901	19760.963724607787	7111.4958766304435
2023-06-26	-5565.7649973622465	19906.499404044756	7170.367203341255
2023-06-27	-5572.901427810421	20071.62058341989	7249.359577804736
2023-06-28	-5598.903978150103	20235.884755975363	7318.490388912631
2023-06-29	-5942.317477217575	20071.092983669696	7064.387753226059
2023-06-30	-5782.176286587831	20408.852542958874	7313.338128185521
2023-07-01	-5853.653622680542	20513.797953191723	7330.072165255591
2023-07-02	-5843.344561866869	20699.35731131895	7428.00637472604
2023-07-03	-6019.538420085476	20697.264290303516	7338.862935109019
2023-07-04	-6196.8130232662015	20692.963354614894	7248.075165674346
2023-07-05	-5973.358763554937	21088.285713807378	7557.463475126221
2023-07-06	-6141.407351240409	21091.020594640264	7474.806621699928
2023-07-07	-6450.008754072477	20952.13849735505	7251.064871641286
2023-07-08	-6475.505378078118	21095.377771473504	7309.936196697692
2023-07-09	-6480.414517881004	21258.27160208872	7388.928542103858
2023-07-10	-6503.795335520482	21419.914069833947	7458.059367156732
2023-07-11	-6844.868049981357	21252.78151174378	7203.95673088121
2023-07-12	-6682.464946035033	21588.279158870395	7452.9071064176815
2023-07-13	-6751.751926881665	21691.034213934738	7469.641143526536
2023-07-14	-6739.32162364489	21874.472330092838	7567.575353223974
2023-07-15	-6913.461049325958	21870.324840331064	7478.431895502553
2023-07-16	-7088.745767046883	21864.034036759243	7387.64413485618
2023-07-17	-6863.364083937337	22257.42897398763	7697.0324450251455
2023-07-18	-7029.545675137549	22258.296857952093	7614.375591407273
2023-07-19	-7336.3385715598115	22117.60625321991	7390.63384083005
2023-07-20	-7360.085635017533	22259.095967063346	7449.5051660229055
2023-07-21	-7363.297168720153	22420.2921963714	7528.497513825623
2023-07-22	-7384.647736676313	22579.904412133037	7597.628337728363
2023-07-23	-7723.91610294151	22410.96750594434	7343.525701501416
2023-07-24	-7559.769442362648	22744.72159634324	7592.476076990296
2023-07-25	-7627.367583240803	22845.78781143271	7609.210114095953
2023-07-26	-7613.301436458102	23027.59008400744	7707.144323774669
2023-07-27	-7785.856375816528	23021.858110909405	7618.000867546439
2023-07-28	-7959.606397805724	23014.032610156195	7527.213106175236
2023-07-29	-7732.7382997469185	23405.941132317035	7836.601416285058
2023-07-30	-7897.4803104709945	23405.36943583697	7753.9445626829865
2023-07-31	-8202.879075304536	23263.284699601605	7530.202812148535
2023-08-01	-8225.2781791421	23403.426453802374	7589.074137330137
2023-08-02	-8227.182111415277	23563.31508128567	7668.066484935195
2023-08-03	-8246.939860465332	23721.334478330922	7737.197308932794
2023-08-04	-8584.801589885308	23550.990935288988	7483.094672701841
2023-08-05	-8419.296579762395	23883.38667615169	7732.045048194647
2023-08-06	-8485.579472902064	23983.1376435032	7748.779085300567
2023-08-07	-8470.239919444834	24163.66650940649	7846.713294980827
2023-08-08	-8641.56209129535	24156.701768554234	7757.569838629443
2023-08-09	-8814.11882849311	24147.682983129154	7666.782077318023
2023-08-10	-8586.095815770299	24538.43659063574	7976.170387432722
2023-08-11	-8749.720210182357	24536.747277841052	7893.513533829348
2023-08-12	-9054.037628339944	24393.581194922677	7669.771783291368
2023-08-13	-9075.392505647422	24532.678722595218	7728.643108473899
2023-08-14	-9076.284384007284	24691.555296197803	7807.635456095259
2023-08-15	-9094.782140790117	24848.314700960185	7876.766280085034
2023-08-16	-9431.540414663312	24676.867702372136	7622.663643854411
2023-08-17	-9264.971241267638	25008.199279961424	7871.614019346893
2023-08-18	-9330.224749981957	25106.920862887542	7888.348056452792
2023-08-19	-9313.889636306985	25286.454168572833	7986.282266132925
2023-08-20	-9484.249161159856	25278.52678074325	7897.138809791698
2023-08-21	-9655.875286208571	25268.577383159263	7806.351048475346
2023-08-22	-9426.952848548515	25658.431565727806	8115.739358589644
2023-08-23	-9589.708186884905	25655.87319685766	8033.082504986377
2023-08-24	-9893.186130928281	25511.867639825658	7809.340754448689
2023-08-25	-9913.732018280665	25650.15617754295	7868.212079631143
2023-08-26	-9913.841106577049	25808.249961079367	7947.204427251158
2023-08-27	-9931.338014094783	25964.00851657794	8016.335251241579
2023-08-28	-10267.229241542456	25791.694471564315	7762.232615010928
2023-08-29	-10099.825632059825	26122.1916130667	8011.182990503437
2023-08-30	-10164.273330439464	26220.107385658142	8027.917027609338
2023-08-31	-10147.160289627334	26398.8627642063	8125.851237289482
2023-09-01	-10316.769061681443	26390.18462357628	8036.707780947418
2023-09-02	-10487.670923336495	26379.510962599437	7945.920019631472
2023-09-03	-10258.05004936134	26768.666708852947	8255.308329745803
2023-09-04	-10420.132137650005	26765.43508993506	8172.651476142527
2023-09-05	-10722.961400889137	26620.780852098767	7948.909725604815
2023-09-06	-10742.884087967319	26758.446189541868	8007.7810507872755
2023-09-07	-10742.391695607517	26915.93849242232	8086.773398407402
2023-09-08	-10759.093413763652	27070.90185855919	8155.9042223977685
2023-09-09	-11094.305426104816	26897.908598439055	7901.80158616712
2023-09-10	-10926.250113983513	27227.754037302766	8150.751961659627
2023-09-11	-10990.070066912976	27325.042064444035	8167.485998765528
2023-09-12	-10972.352647129375	27503.19306402072	8265.420208445672
2023-09-13	-11141.37984278251	27493.933346989863	8176.276752103677
2023-09-14	-11311.722384776931	27482.700366352325	8085.488990787698
2023-09-15	-11081.563919113196	27871.318520917248	8394.877300902026
2023-09-16	-11243.12963117234	27867.570525769836	8312.220447298749
2023-09-17	-11545.463239630706	27722.420633152782	8088.478696761038
2023-09-18	-11564.91188957524	27859.611933462234	8147.350021943497
2023-09-19	-11563.963739990993	28016.648479118223	8226.342369563614
2023-09-20	-11580.036123859614	28170.98251096758	8295.473193553984
2023-09-21	-11914.720528813768	27997.46164346044	8041.3705573233365
2023-09-22	-11746.161143916712	28326.8030095484	8290.320932815843
2023-09-23	-11809.497360515184	28423.60730035867	8307.054969921743
2023-09-24	-11791.316061899252	28601.294421103023	8404.989179601886
2023-09-25	-11959.898779129333	28591.590225649103	8315.845723259885
2023-09-26	-12129.815800008988	28579.931723896807	8225.05796194391
2023-09-27	-11899.250340622028	28968.142884738503	8534.446272058238
2023-09-28	-12060.427168997703	28964.006005907628	8451.789418454962
2023-09-29	-12362.38960119941	28818.484937033914	8228.047667917252
2023-09-30	-12381.485649818447	28955.32363601787	8286.91899309971
2023-10-01	-12380.200485172314	29112.02316661197	8365.911340719827
2023-10-02	-12395.779129837943	29265.86345925834	8435.0421647102
2023-10-03	-12730.05995267337	29091.93900963247	8180.939528479552
2023-10-04	-12561.117356097204	29420.897164041322	8429.889903972058
2023-10-05	-12624.087836139794	29517.33571829571	8446.623941077958
2023-10-06	-12605.557881375527	29694.67418289173	8544.558150758101
2023-10-07	-12773.808646344325	29684.638035176526	8455.4146944161
2023-10-08	-12943.410053377695	29672.663919577943	8364.626933100124
2023-10-09	-12712.544963481665	30060.57544991057	8674.015243214453
2023-10-10	-12873.4377995135	30056.154578735855	8591.358389611178
2023-10-11	-13175.131544345439	29910.364822492375	8367.616639073467
2023-10-12	-13193.975042009532	30046.950970521386	8426.487964255926
2023-10-13	-13192.45076690733	30203.41139065942	8505.480311876045
2023-10-14	-13207.647840803806	30356.87011253664	8574.611135866417
2023-10-15	-13541.627723152236	30182.644722423775	8320.50849963577
2023-10-16	-13372.40199744999	30511.31974770654	8569.458875128275
2023-10-17	-13435.104525248105	30607.490349716456	8586.192912234175
2023-10-18	-13416.321465196104	30784.575709024743	8684.127121914318
2023-10-19	-13584.333657317353	30774.30098846199	8594.983665572317
2023-10-20	-13753.71071830952	30762.1025268222	8504.195904256341
2023-10-21	-13522.63521188321	31149.803640624552	8813.58421437067
2023-10-22	-13683.33127154434	31145.185993079132	8730.927360767395
2023-10-23	-13984.841600722993	30999.212821182362	8507.185610229684
2023-10-24	-14003.515835207883	31135.62970603217	8566.056935412144
2023-10-25	-14001.834002440657	31291.93256850518	8645.049283032262
2023-10-26	-14016.743248725767	31445.103462771032	8714.180107022634
2023-10-27	-14350.50799344827	31270.66293503224	8460.077470791986
2023-10-28	-14181.082841596623	31599.138534165606	8709.027846284493
2023-10-29	-14243.599247733227	31695.123014514014	8725.761883390393
2023-10-30	-14224.643091317444	31872.035277458515	8823.696093070535
2023-10-31	-14392.494946418094	31861.600219875163	8734.552636728535
2023-11-01	-14561.724171031256	31849.253921856372	8643.764875412558
2023-11-02	-14330.513076957486	32236.81944801126	8953.153185526888
2023-11-03	-14491.085552259432	32232.078216106656	8870.496331923612
2023-11-04	-14792.484063242928	32085.993226014732	8646.754581385901
2023-11-05	-14811.058996427242	32222.31080956396	8705.62590656836
2023-11-06	-14809.2881465189	32378.52465489586	8784.61825418848
2023-11-07	-14823.988614731232	32531.486771088934	8853.749078178851
2023-11-08	-15157.610582129884	32356.90346602629	8599.646441948204
2023-11-09	-14988.056619277442	32685.250254158862	8848.59681744071
2023-11-10	-15050.455974212153	32781.117683305376	8865.33085454661
2023-11-11	-15031.394287560002	32957.924416013506	8963.265064226753
2023-11-12	-15199.151906062061	32947.39512183156	8874.121607884752
2023-11-13	-15368.29796638989	32934.96565952744	8783.333846568776
2023-11-14	-15137.014564625597	33322.458877991805	9092.722156683105
2023-11-15	-15297.525378447384	33317.655984607045	9010.06530307983
2023-11-16	-15598.872670851251	33171.51977593549	8786.323552542119
2023-11-17	-15617.407538106429	33307.79729355559	8845.194877724578
2023-11-18	-15615.605728396382	33463.980179085775	8924.187225344696
2023-11-19	-15630.164606233646	33616.800704903784	8993.318049335068
2023-11-20	-15963.705294742214	33442.13612095106	8739.21541310442
2023-11-21	-15794.082552547936	33770.41412974179	8988.165788596927
2023-11-22	-15856.423599335549	33866.223250741205	9004.899825702827
2023-11-23	-15837.31386944938	34042.98194021532	9102.83403538297
2023-11-24	-16005.033513451257	34032.414671533195	9013.69057904097
2023-11-25	-16174.151476862313	34019.9571123123	8922.902817724993
2023-11-26	-15942.84966929687	34407.43192497551	9232.291127839322
2023-11-27	-16103.351586416578	34402.62013488867	9149.634274236047
2023-11-28	-16404.69931528499	34256.484362681666	8925.892523698336
2023-11-29	-16423.244621822974	34392.77231958457	8984.763848880795
2023-11-30	-16421.461370974823	34548.97376397665	9063.756196500914
2023-12-01	-16435.93616564198	34701.71020662455	9132.887020491286
2023-12-02	-16769.448202135703	34527.01697065698	8878.784384260638
2023-12-03	-16599.808062243716	34855.27758175001	9127.734759753144
2023-12-04	-16662.14109679974	34951.078690517825	9144.468796859044
2023-12-05	-16643.032560450876	35127.83857352925	9242.403006539187
2023-12-06	-16810.76243300725	35117.28153340163	9153.259550197186
2023-12-07	-16979.899493495977	35104.8430712584	9062.47178888121
2023-12-08	-16748.62548899003	35492.345686981105	9371.86009899554
2023-12-09	-16909.16375636319	35487.57024714772	9289.203245392264
2023-12-10	-17210.55622917461	35341.47921888372	9065.461494854553
2023-12-11	-17229.155304272143	35477.82094434617	9124.332820037012
2023-12-12	-17227.433107635374	35634.08344294963	9203.32516765713
2023-12-13	-17241.873348777735	35786.785332072744	9272.455991647503
2023-12-14	-17575.402044029914	35612.10875486363	9018.353355416855
2023-12-15	-17405.78875052299	35940.39621234171	9267.303730909362
2023-12-16	-17468.157093908303	36036.23262993882	9284.037768015261
2023-12-17	-17449.09217109026	36213.03612648106	9381.971977695404
2023-12-18	-17616.873812114216	36202.53085482102	9292.828521353404
2023-12-19	-17786.07064988162	36190.15216995648	9202.040760037427
2023-12-20	-17554.86428870789	36577.7224290114	9511.429070151757
2023-12-21	-17715.477925904055	36573.022359001014	9428.772216548481
2023-12-22	-18016.953360093794	36427.01429211533	9205.03046601077
2023-12-23	-18035.643581973534	36563.44716435999	9263.90179119323
2023-12-24	-18034.019106892614	36719.80738451931	9342.894138813348
2023-12-25	-18048.467692095637	36872.51761770308	9412.02496280372
2023-12-26	-18382.05227093961	36697.896924085755	9157.922326573072
2023-12-27	-18212.50412748259	37026.24953161375	9406.872702065579
2023-12-28	-18274.945292283348	37122.15877062631	9423.606739171479
2023-12-29	-18255.96072281798	37299.04262052122	9521.540948851622
2023-12-30	-18423.830116861704	37288.62510188094	9432.39749250962
2023-12-31	-18593.121978182768	37276.34144057006	9341.609731193645
2024-01-01	-18362.017784857853	37664.013867473805	9650.998041307974
2024-01-02	-18522.740610701345	37659.42298611074	9568.341187704698
2024-01-03	-18824.332134923236	37513.53100925721	9344.599437166988
2024-01-04	-18843.14590676931	37650.0874314682	9403.470762349447
2024-01-05	-18841.650945792142	37806.57716573127	9482.463109969565
2024-01-06	-18856.145215254466	37959.33308317434	9551.593933959937
2024-01-07	-19189.819799991456	37784.80239545004	9297.49129772929
2024-01-08	-19020.370127548384	38113.25347399198	9546.441673221796
2024-01-09	-19082.916751724646	38209.268172380034	9563.175710327696
2024-01-10	-19064.04450598585	38386.264346001524	9661.109920007839
2024-01-11	-19232.03297055251	38375.96589788419	9571.966463665838
2024-01-12	-19401.450534362975	38363.807939062695	9481.178702349862
2024-01-13	-19170.47856317044	38751.612588098826	9790.567012464191
2024-01-14	-19331.340020837357	38747.16033855919	9707.910158860916
2024-01-15	-19633.07648024802	38601.41329689443	9484.168408323205
2024-01-16	-19652.042015721672	38738.121482733	9543.039733505664
2024-01-17	-19650.704254309756	38894.768416561325	9622.032081125782
2024-01-18	-19665.27685768442	39047.602667916726	9691.162905116154
2024-01-19	-19999.071261938425	38873.19179970944	9437.060268885507
2024-01-20	-19829.749172395903	39201.77046115193	9686.010644378013
2024-01-21	-19892.42977416641	39297.91913713423	9702.744681483913
2024-01-22	-19873.697789792626	39475.05557212074	9800.678891164056
2024-01-23	-20041.832694420133	39464.90356406425	9711.535434822055
2024-01-24	-20211.402774295406	39452.89812130757	9620.747673506079
2024-01-25	-19980.589294665304	39840.861261906124	9930.135983620408
2024-01-26	-20141.61512095113	39836.5733809854	9847.479130017133
2024-01-27	-20443.521730835197	39690.99648979404	9623.737379479422
2024-01-28	-20462.66369204572	39827.88110136948	9682.608704661881
2024-01-29	-20461.50733248914	39984.70943705314	9761.601052282
2024-01-30	-20476.18693438032	40137.65068692506	9830.731876272372
2024-01-31	-20810.1273096609	39963.385789744345	9576.629240041724
2024-02-01	-20640.958336282594	40292.11756735106	9825.57961553423
2024-02-02	-20703.797929708744	40388.42523498901	9842.31365264013
2024-02-03	-20685.23071275334	40565.72643739388	9940.247862320273
2024-02-04	-20853.53606615044	40555.74487810698	9851.104405978273
2024-02-05	-21023.282183832263	40543.915473156856	9760.316644662296
2024-02-06	-20792.650240649073	40932.06015020232	10069.704954776626
2024-02-07	-20953.86301343534	40927.959215782044	9987.04810117335
2024-02-08	-21255.96189419461	40782.57459546589	9763.30635063564
2024-02-09	-21275.30191416415	40919.65726580034	9822.177675818099
2024-02-10	-21274.348186837065	41076.688233713496	9901.170023438217
2024-02-11	-21289.160045712168	41229.761740569345	9970.300847428589
2024-02-12	-21623.269412318437	41055.665834714324	9716.198211197941
2024-02-13	-21454.27602769375	41384.57320107464	9965.148586690448
2024-02-14	-21517.296628710643	41481.06187630334	9981.882623796348
2024-02-15	-21498.91574809599	41658.549415048976	10079.81683347649
2024-02-16	-21667.412681346883	41648.759435615866	9990.67337713449
2024-02-17	-21837.35553901455	41637.12677065157	9899.885615818514
2024-02-18	-21606.925414260637	42025.473266126326	10209.273925932843
2024-02-19	-21768.345003826005	42021.57914848514	10126.617072329567
2024-02-20	-22070.655622243088	41876.4062658268	9902.875321791857
2024-02-21	-22090.21273605518	42013.706030003814	9961.746646974316
2024-02-22	-22089.480321541534	42170.958310730406	10040.738994594434
2024-02-23	-22104.446768364047	42324.18640553366	10109.869818584806
2024-02-24	-22438.745454592332	42150.27981930065	9855.767182354159
2024-02-25	-22269.947499327864	42479.3826150212	10104.717557846665
2024-02-26	-22333.16854479756	42576.071734702695	10121.451594952565
2024-02-27	-22314.99304199893	42753.76465126434	10219.385804632708
2024-02-28	-22483.70020913572	42744.184905717135	10130.242348290707
2024-02-29	-22653.858081116854	42732.76725506631	10039.45458697473
2024-03-01	-22423.64767696293	43121.33347114105	10348.84289708906
2024-03-02	-22585.291620686938	43117.6637076585	10266.186043485784
2024-03-03	-22887.83115646772	42972.719742363864	10042.444292948074
2024-03-04	-22907.62215956921	43110.253395830274	10101.315618130533
2024-03-05	-22907.12753963899	43267.7434711403	10180.307965750651
2024-03-06	-22922.268376350552	43421.1459558326	10249.438789741023
2024-03-07	-23256.774384357937	43247.44669137869	9995.336153510376
2024-03-08	-23088.189424331515	43576.762482337275	10244.286529002882
2024-03-09	-23151.628121437017	43673.66925365458	10261.020566108782
2024-03-10	-23133.67485223028	43851.58440380813	10358.954775788925
2024-03-11	-23302.608764540186	43842.23140343404	10269.811319446924
